timestamp,latitude,longitude,altitude,heading,pitch,roll,ve,vn,vu,ae,an,au,vheading,vpitch,vroll
1783590240000,48.058349,170.350769,3421.215400,59.470000,6.440000,-6.360000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590241000,48.058582,170.351181,3423.298000,58.760000,5.950000,-5.360000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590242000,48.058830,170.351600,3425.380600,57.550000,6.440000,-4.740000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590243000,48.059127,170.352088,3428.264200,55.790000,6.370000,-3.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590244000,48.059535,170.352729,3431.948800,53.600000,7.120000,-6.790000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590245000,48.059745,170.353042,3434.191600,53.080000,6.360000,-7.040000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590246000,48.060016,170.353424,3437.235400,51.800000,7.160000,-6.460000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590247000,48.060485,170.354034,3441.881200,48.660000,6.680000,-6.420000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590248000,48.060588,170.354164,3443.002600,48.080000,6.600000,-7.430000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590249000,48.060951,170.354598,3447.167800,46.340000,6.270000,-5.240000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590250000,48.061191,170.354873,3450.211600,45.780000,6.570000,-5.160000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590251000,48.061504,170.355209,3454.537000,44.880000,7.120000,-4.310000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590252000,48.061813,170.355537,3458.862400,43.890000,6.610000,-5.830000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590253000,48.062145,170.355865,3463.508200,42.830000,6.830000,-5.320000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590253000,48.062465,170.356170,3468.314200,41.510000,6.640000,-3.920000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590253000,48.062805,170.356491,3472.799800,39.830000,7.080000,-5.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590257000,48.063278,170.356910,3477.766000,37.890000,6.660000,-6.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590258000,48.063701,170.357254,3481.931200,36.260000,6.620000,-6.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590259000,48.063980,170.357475,3484.975000,35.020000,6.610000,-6.180000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590260000,48.064342,170.357742,3488.819800,33.630000,6.770000,-6.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590261000,48.064697,170.357994,3492.824800,32.010000,7.160000,-6.580000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590261000,48.065074,170.358230,3496.669600,30.640000,5.390000,-6.780000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590262000,48.065525,170.358512,3500.194000,29.700000,3.390000,-5.890000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590263000,48.065834,170.358695,3501.635800,28.940000,2.020000,-6.150000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590264000,48.066448,170.359031,3501.475600,27.030000,0.210000,-7.390000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
